sentiment,text
pos,"every dance becomes about seduction , where backstabbing and betrayals are celebrated , and sex is currency ."
pos,"everything that has to do with yvan and charlotte , and everything that has to do with yvan's rambunctious , jewish sister and her non-jew husband , feels funny and true ."
pos,"defies logic , the laws of physics and almost anyone's willingness to believe in it . but darned if it doesn't also keep us riveted to our seats ."
neg,"somewhere inside the mess that is world traveler , there is a mediocre movie trying to get out ."
neg,doesn't amount to much of anything .
pos,it's been made with an innocent yet fervid conviction that our hollywood has all but lost .
pos,"a bittersweet contemporary comedy about benevolent deception , which , while it may not rival the filmmaker's period pieces , is still very much worth seeing ."
neg,as plain and pedestrian as catsup-
neg, . . . stumbles over every cheap trick in the book trying to make the outrage come even easier .
neg,"call me a cynic , but there's something awfully deadly about any movie with a life-affirming message ."
neg,"the château would have been benefited from a sharper , cleaner script before it went in front of the camera . not to mention a sharper , cleaner camera lens ."
pos,not since japanese filmmaker akira kurosawa's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur .
pos,"one of the most haunting , viciously honest coming-of-age films in recent memory ."
neg,"unintelligible , poorly acted , brain-slappingly bad , harvard man is ludicrous enough that it could become a cult classic ."
pos,morvern rocks .
pos,"it's no surprise that as a director washington demands and receives excellent performances , from himself and from newcomer derek luke ."
pos,one of the best rock documentaries ever . wilco is a phenomenal band with such an engrossing story that will capture the minds and hearts of many .
neg,a close-to-solid espionage thriller with the misfortune of being released a few decades too late .
neg,"a 93-minute condensation of a 26-episode tv series , with all of the pitfalls of such you'd expect ."
pos,spare yet audacious . . .
neg,consists of a plot and jokes done too often by people far more talented than ali 
pos,"preaches to two completely different choirs at the same time , which is a pretty amazing accomplishment ."
pos,"as teen movies go , "" orange county "" is a refreshing chang"
neg,you're too conscious of the effort it takes to be this spontaneous .
neg,"a zippy 96 minutes of mediocre special effects , hoary dialogue , fluxing accents , and -- worst of all -- silly-looking morlocks ."
neg, . . . a pretentious and ultimately empty examination of a sick and evil woman .
pos,a beautifully tooled action thriller about love and terrorism in korea .
pos,"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start ."
pos,one of [herzog's] least inspired works .
pos,"filmmaker stacy peralta has a flashy editing style that doesn't always jell with sean penn's monotone narration , but he respects the material without sentimentalizing it ."
pos,"ramsay is clearly extraordinarily talented , and based on three short films and two features , here's betting her third feature will be something to behold ."
neg,a cinematic sleeping pill of impressive potency .
pos,"a movie i loved on first sight and , even more important , love in remembrance ."
pos,"it will not appeal to the impatient , but those who like long books and movies will admire the way it accumulates power and depth ."
neg,"it may be an easy swipe to take , but this barbershop just doesn't make the cut ."
pos,[fincher's] camera sense and assured pacing make it an above-average thriller .
neg,watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it .
neg,"a profoundly stupid affair , populating its hackneyed and meanspirited storyline with cardboard characters and performers who value cash above credibility ."
neg,the movie gets muted and routine .
neg,not an objectionable or dull film ; it merely lacks everything except good intentions .
pos,"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at ."
neg,alternative medicine obviously has its merits . . . but ayurveda does the field no favors .
neg,"the film wasn't preachy , but it was feminism by the book ."
neg,"i realized that no matter how fantastic reign of fire looked , its story was making no sense at all ."
neg,in comparison to his earlier films it seems a disappointingly thin slice of lower-class london life ; despite the title . . . amounts to surprisingly little .
neg,made with no discernible craft and monstrously sanctimonious in dealing with childhood loss .
pos,"wonder , hope and magic can never escape the heart of the boy when the right movie comes along , especially if it begins with the name of star war"
neg,there is a difference between movies with the courage to go over the top and movies that don't care about being stupi
neg,intriguing documentary which is emotionally diluted by focusing on the story's least interesting subject .
neg,"jacobi , the most fluent of actors , is given relatively dry material from nijinsky's writings to perform , and the visuals , even erotically frank ones , become dullingly repetitive ."
pos,"be prepared to cling to the edge of your seat , tense with suspense . the ring never lets you off the hook ."
pos,a sensitive and expertly acted crowd-pleaser that isn't above a little broad comedy and a few unabashedly sentimental tears .
neg," . . . plot holes so large and obvious a marching band might as well be stomping through them in clown clothes , playing a college football fight song on untuned instruments ."
neg,so-so entertainment .
pos,there's plenty to impress about e . t .
pos,"displaying about equal amounts of naiveté , passion and talent , beneath clouds establishes sen as a filmmaker of considerable potential ."
neg,"usually when i get this much syrup , i like pancakes to go with it ."
pos,"it represents better-than-average movie-making that doesn't demand a dumb , distracted audience ."
neg,"director brian levant , who never strays far from his sitcom roots , skates blithely from one implausible situation to another , pausing only to tie up loose ends with more bows than you'll find on a french poodle ."
pos,it reaffirms life as it looks in the face of death .
neg,"do you say "" hi "" to your lover when you wake up in the morning ?"
pos,"feature debuter d . j . caruso directs a crack ensemble cast , bringing screenwriter tony gayton's narcotics noir to life ."
pos,"although mainstream american movies tend to exploit the familiar , every once in a while a film arrives from the margin that gives viewers a chance to learn , to grow , to travel ."
pos,"it may not be as cutting , as witty or as true as back in the glory days of weekend and two or three things i know about her , but who else engaged in filmmaking today is so cognizant of the cultural and moral issues involved in the process ?"
neg,plotless collection of moronic stunts is by far the worst movie of the year .
neg,"while van wilder may not be the worst national lampoon film , it's far from being this generation's animal house ."
pos,"all in all , the count of monte cristo is okay , but it is surely no classic , like the novel upon which it is based ."
neg,"few of the increasingly far-fetched events that first-time writer-director neil burger follows up with are terribly convincing , which is a pity , considering barry's terrific performance ."
pos,"it would be disingenuous to call reno a great film , but you can say that about most of the flicks moving in and out of the multiplex . this is a movie that is what it is : a pleasant distraction , a friday night diversion , an excuse to eat popcorn ."
pos,"a beguiling , slow-moving parable about the collision of past and present on a remote seacoast in iran ."
neg,control-alt-delete simone as quickly as possibl
neg,"journalistically dubious , inept and often lethally dull ."
pos,old-form moviemaking at its best .
pos,runs on the pure adrenalin of pacino's performance .
pos,cube's charisma and chemistry compensate for corniness and cliche .
pos,"a love for films shines through each frame and the era is recreated with obvious affection , scored to perfection with some tasty boogaloo beats ."
pos,"the movie enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle ."
pos,"still pretentious and filled with subtext , but entertaining enough at 'face value' to recommend to anyone looking for something different ."
pos,my wife is an actress is an utterly charming french comedy that feels so american in sensibility and style it's virtually its own hollywood remake .
neg,"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality ."
pos,the film is a very good viewing alternative for young women .
pos,absorbing character study by andré turpin .
pos,energetic and boldly provocative .
neg,"the predominantly amateur cast is painful to watch , so stilted and unconvincing are the performances ."
pos,"alternately hilarious and sad , aggravating and soulful , scathing and joyous . it's a masterpeice ."
pos,tian emphasizes the isolation of these characters by confining color to liyan's backyard .
pos,"this is a raw and disturbing tale that took five years to make , and the trio's absorbing narrative is a heart-wrenching showcase indeed ."
pos,"a classy , sprightly spin on film ."
neg,a spooky yarn of demonic doings on the high seas that works better the less the brain is engaged .
neg,"director barry skolnick and his screenwriters glibly tick off every point of "" the longest yard "" playbook like a checklist ."
neg,a fifty car pileup of cliches .
neg,"instead of contriving a climactic hero's death for the beloved-major- character-who-shall- remain-nameless , why not invite some genuine spontaneity into the film by having the evil aliens' laser guns actually hit something for once ?"
neg,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie ."
pos,the kind of nervous film that will either give you a mild headache or exhilarate you .
neg,"a small fortune in salaries and stunt cars might have been saved if the director , tom dey , had spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) ."
neg,none of birthday girl's calculated events take us by surprise . . .
pos,"hey , who else needs a shower ?"
pos,"a pleasant , if forgettable , romp of a film ."
neg,a living testament to the power of the eccentric and the strange . the fact that it isn't very good is almost beside the point .
pos,"you may leave the theater with more questions than answers , but darned if your toes won't still be tapping ."
pos,cho continues her exploration of the outer limits of raunch with considerable brio .
neg,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves ."
neg,"children , christian or otherwise , deserve to hear the full story of jonah's despair -- in all its agonizing , catch-22 glory -- even if they spend years trying to comprehend it ."
pos,"kids five and up will be delighted with the fast , funny , and even touching story . parents may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults ."
pos,"you can almost see mendes and company getting together before a single frame had been shot and collectively vowing , 'this is going to be something really good . ' and it is ."
pos,"a chronicle not only of one man's quest to be president , but of how that man single-handedly turned a plane full of hard-bitten , cynical journalists into what was essentially , by campaign's end , an extended publicity department ."
neg,the makers of mothman prophecies succeed in producing that most frightening of all movies -- a mediocre horror film too bad to be good and too good to be bad .
pos,"you emerge dazed , confused as to whether you've seen pornography or documentary ."
pos,"it ain't art , by a long shot , but unlike last year's lame musketeer , this dumas adaptation entertains ."
pos,alternates between deadpan comedy and heartbreaking loneliness and isn't afraid to provoke introspection in both its characters and its audience .
pos,"if you love reading and/or poetry , then by all means check it out . you'll probably love it ."
pos,"like mike isn't going to make box office money that makes michael jordan jealous , but it has some cute moments , funny scenes , and hits the target audience ( young bow wow fans ) - with nothing but net ."
pos,"the whole mildly pleasant outing -- the r rating is for brief nudity and a grisly corpse -- remains aloft not on its own self-referential hot air , but on the inspired performance of tim allen ."
pos,"generally , clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes ."
pos,an ironic speculation on democracy in a culture unaccustomed to it .
neg,this 100-minute movie only has about 25 minutes of decent material .
pos,"watching this gentle , mesmerizing portrait of a man coming to terms with time , you barely realize your mind is being blown ."
pos,"secretary manages a neat trick , bundling the flowers of perversity , comedy and romance into a strangely tempting bouquet of a movie ."
neg,kim ki-deok seems to have in mind an ( emotionally at least ) adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested .
neg,there's nothing to gain from watching they . it isn't scary . it hates its characters . it finds no way to entertain or inspire its viewers .
pos,"while its careful pace and seemingly opaque story may not satisfy every moviegoer's appetite , the film's final scene is soaringly , transparently moving ."
pos,the pianist is polanski's best film .
neg,"an awful lot like one of [spears'] music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it ."
neg,this action-thriller/dark comedy is one of the most repellent things to pop up in a cinematic year already littered with celluloid garbage .
pos,"prancing his way through the tailor-made part of a male hooker approaching the end of his vitality , jagger obviously relishes every self-mocking moment ."
neg,the movie makes absolutely no sense . its underlying mythology is a hodgepodge of inconsistencies that pose the question : since when did dumb entertainment have to be this dumb ?
pos,"antwone fisher certainly does the trick of making us care about its protagonist and celebrate his victories but , with few exceptions , it rarely stoops to cheap manipulation or corny conventions to do it ."
pos,"for a movie audience , the hours doesn't connect in a neat way , but introduces characters who illuminate mysteries of sex , duty and love ."
pos,maguire is a surprisingly effective peter/spider-man .
pos,"i liked about schmidt a lot , but i have a feeling that i would have liked it much more if harry & tonto never existed ."
pos,go see it and enjoy .
pos,at once disarmingly straightforward and strikingly devious .
pos,"while not all transitions to adulthood are so fraught , there's much truth and no small amount of poetry in girls can't swim ."
neg,"if it's another regurgitated action movie you're after , there's no better film than half past dead ."
pos,one scarcely needs the subtitles to enjoy this colorful action farce .
pos,"by candidly detailing the politics involved in the creation of an extraordinary piece of music , [jones] calls our attention to the inherent conflict between commerce and creativity ."
pos,mama africa pretty much delivers on that promise . it does give you a peek . the main problem being that it's only a peek .
pos,[anderson] uses a hit-or-miss aesthetic that hits often enough to keep the film entertaining even if none of it makes a lick of sense .
pos,"in a way , the film feels like a breath of fresh air , but only to those that allow it in ."
neg,even horror fans will most likely not find what they're seeking with trouble every day ; the movie lacks both thrills and humor .
pos,a modestly surprising movie .
neg,highly uneven and inconsistent . . . margarita happy hour kinda resembles the el cheapo margaritas served within .
pos,meant for star wars fans . it is there to give them a good time .
pos," . . . a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920's . . . the film's ending has a "" what was it all for ? "" feeling to it , but like the 1920's , the trip there is a great deal of fun ."
pos,"the sort of film that makes me miss hitchcock , but also feel optimistic that there's hope for popular cinema yet ."
pos,griffin & co . manage to be spectacularly outrageous .
pos,"terrific as nadia , a russian mail-order bride who comes to america speaking not a word of english , it's kidman who holds the film together with a supremely kittenish performance that gradually accumulates more layers ."
pos,the mothman prophecies is best when illustrating the demons bedevilling the modern masculine journey .
neg,"in the wake of saving private ryan , black hawk down and we were soldiers , you are likely to be as heartily sick of mayhem as cage's war-weary marine ."
neg,"for all the writhing and wailing , tears , rage and opium overdoses , there's no sense of actual passion being washed away in love's dissolution ."
neg," . . . the same tired old gags , modernized for the extreme sports generation . there's already been too many of these films . . ."
neg,"feel bad for king , who's honestly trying , and schwartzman , who's shot himself in the foot ."
neg,"there's something with potential here , but the movie decides , like lavinia , to go the conservative route ."
neg,exists then as an occasionally insightful acting exercise .
neg,a limp eddie murphy vehicle that even he seems embarrassed to be part of .
neg,"adults will wish the movie were less simplistic , obvious , clumsily plotted and shallowly characterized . but what are adults doing in the theater at all ?"
neg,"when a film is created solely because it's a marketable product , soulless and ugly movies like this are the result . let your silly childhood nostalgia slumber unmolested ."
neg,"ponderous , plodding soap opera disguised as a feature film ."
pos,"' . . . despite lagging near the finish line , the movie runs a good race , one that will have you at the edge of your seat for long stretches . "
neg," "" bad "" is the operative word for "" bad company , "" and i don't mean that in a good way ."
pos,the drama is played out with such aching beauty and truth that it brings tears to your eyes .
pos,"tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure ."
pos,"director alfonso cuaron gets vivid , convincing performances from a fine cast , and generally keeps things going at a rapid pace , occasionally using an omniscient voice-over narrator in the manner of french new wave films ."
pos,a poignant lyricism runs through balzac and the little chinese seamstress that transforms this story about love and culture into a cinematic poem .
pos,"about a manga-like heroine who fights back at her abusers , it's energetic and satisfying if not deep and psychological ."
neg,"it's a bizarre curiosity memorable mainly for the way it fritters away its potentially interesting subject matter via a banal script , unimpressive acting and indifferent direction ."
pos,the cast comes through even when the movie doesn't .
pos,"if you're not into the pokemon franchise , this fourth animated movie in four years won't convert you -- or even keep your eyes open . but fans should have fun meeting a brand-new pokemon called celebi ."
pos,a terrific insider look at the star-making machinery of tinseltown .
neg,corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in .
neg,"irwin is a man with enough charisma and audacity to carry a dozen films , but this particular result is ultimately held back from being something greater ."
pos,"call me a wimp , but i cried , not once , but three times in this animated sweet film ."
neg,"even on those rare occasions when the narrator stops yammering , miller's hand often feels unsure ."
pos,"alain choquart's camera barely stops moving , portraying both the turmoil of the time and giving conduct a perpetual sense of urgency , which , for a film that takes nearly three hours to unspool , is both funny and irritating ."
neg,it's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding .
neg,arty gay film .
pos,a low-key labor of love that strikes a very resonant chord .
neg,"the unceasing sadism is so graphically excessive , the director just ends up exposing his own obsession ."
pos,boasts enough funny dialogue and sharp characterizations to be mildly amusing .
pos,"interacting eyeball-to-eyeball and toe-to-toe , hopkins and norton are a winning combination -- but fiennes steals 'red dragon' right from under their noses ."
pos,"you can feel the heat that ignites this gripping tale , and the humor and humanity that root it in feeling ."
pos,"it looks closely , insightfully at fragile , complex relationships ."
pos,"while most films these days are about nothing , this film seems to be about everything that's plaguing the human spirit in a relentlessly globalizing world ."
pos,"your response to its new sequel , analyze that , may hinge on what you thought of the first film ."
pos,[majidi] makes us think twice about immigrants we see around us every day .
neg,"the problem with this film is that it's forced to make its characters idiots in order to advance the plot . had anyone here done anything remotely intelligent , we all could have stopped watching long ago ."
pos,"the stars may be college kids , but the subject matter is as adult as you can get : the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one-night swim turns into an ocean of trouble ."
neg,there's no getting around the fact that this is revenge of the nerds revisited -- again .
pos,"though a capable thriller , somewhere along the way k-19 jettisoned some crucial drama ."
neg,hollywood has taken quite a nosedive from alfred hitchcock's imaginative flight to shyamalan's self-important summer fluff .
neg,"it does nothing new with the old story , except to show fisticuffs in this sort of stop-go slow motion that makes the gang rumbles look like they're being streamed over a 28k modem ."
neg,this overproduced and generally disappointing effort isn't likely to rouse the rush hour crowd .
pos,happily for mr . chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .
neg,john leguizamo may be a dramatic actor -- just not in this movie .
neg,"sinks into the usual cafeteria goulash of fart jokes , masturbation jokes , and racist japanese jokes ."
neg,"writer/director john mckay ignites some charming chemistry between kate and jed but , when he veers into sodden melodrama , punctuated by violins , it's disastrous and kate's jealous female friends become downright despicable ."
neg," . . . plays like a badly edited , 91-minute trailer ( and ) the director can't seem to get a coherent rhythm going . in fact , it doesn't even seem like she tried ."
pos,"for a debut film , skin of man , heart of beast feels unusually assured ."
pos,ranks among willams' best screen work .
pos,"the fun of the movie is the chance it affords to watch jackson , who also served as executive producer , take his smooth , shrewd , powerful act abroad ."
neg,slick piece of cross-promotion .
neg,"offers no new insight on the matter , nor do its characters exactly spring to life ."
pos,"in his u . s . debut , mr . schnitzler proves himself a deft pace master and stylist ."
pos,"unlike the nauseating fictions peddled by such 'have-yourself-a-happy-little-holocaust' movies as life is beautiful and jakob the liar , the grey zone is honest enough to deny the possibility of hope in auschwitz ."
neg,"this film is full of rabbits . brimful . but like most rabbits , it seems to lack substance ."
pos,it seems grant doesn't need the floppy hair and the self-deprecating stammers after all .
neg,"what will , most likely , turn out to be the most repellent movie of 2002 ."
pos,"although fairly involving as far as it goes , the film doesn't end up having much that is fresh to say about growing up catholic or , really , anything ."
pos,a vivid cinematic portrait .
pos,"a headline-fresh thriller set among orthodox jews on the west bank , joseph cedar's time of favor manages not only to find a compelling dramatic means of addressing a complex situation , it does so without compromising that complexity ."
pos,hayek is stunning as frida and . . . a star-making project .
neg,so boring that even its target audience talked all the way through it .
pos,"it's not life-affirming  its vulgar and mean , but i liked it ."
pos,you will emerge with a clearer view of how the gears of justice grind on and the death report comes to share airtime alongside the farm report .
neg,"the final result makes for adequate entertainment , i suppose , but anyone who has seen chicago on stage will leave the theater feeling they've watched nothing but a pale imitation of the real deal ."
pos,a well-made and often lovely depiction of the mysteries of friendship .
pos,"not as well-written as sexy beast , not as gloriously flippant as lock , stock and two smoking barrels , but stylish and moody and exceptionally well-acted ."
pos,a grimly competent and stolid and earnest military courtroom drama .
pos,[reaches] wholly believable and heart-wrenching depths of despair .
neg,"why make a documentary about these marginal historical figures ? wouldn't one about their famous dad , author of death in venice , etc . , be more valuable ?"
pos,"elling really is about a couple of crazy guys , and it's therapeutic to laugh along with them ."
pos,one can't deny its seriousness and quality .
pos,"witty and often surprising , a dark little morality tale disguised as a romantic comedy ."
pos,"sensitive , insightful and beautifully rendered film . one of the best of the year ."
pos,this masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short .
pos,"to the film's credit , the acting is fresh and unselfconscious , and munch is a marvel of reality versus sappy sentiment ."
pos,makes even the claustrophobic on-board quarters seem fun .
pos,the film is saved from aren't-kids-cute sentimentality by a warmth that isn't faked and a stately sense of composition .
neg,only in its final surprising shots does rabbit-proof fence find the authority it's looking for .
pos,"for the first time in several years , mr . allen has surpassed himself with the magic he's spun with the hollywood empress of ms . leoni's ellie ."
neg,the problem with antwone fisher is that it has a screenplay written by antwone fisher based on the book by antwone fisher .
pos,"[shyamalan] turns the goose-pimple genre on its empty head and fills it with spirit , purpose and emotionally bruised characters who add up to more than body count ."
neg,a movie that feels like the pilot episode of a new teen-targeted action tv series .
pos,a disturbing examination of what appears to be the definition of a 'bad' police shooting .
pos,"well-acted , well-directed and , for all its moodiness , not too pretentious ."
neg,"it tries too hard , and overreaches the logic of its own world ."
neg,"sometimes it feels as if it might have been made in the '70s or '80s , and starred chevy chase and goldie hawn ."
pos,as a randy film about sexy people in gorgeous places being pushed and pulled ( literally and figuratively ) by desire . . . [sex and lucía] makes for an arousing good time .
neg,"a great ending doesn't make up for a weak movie , and crazy as hell doesn't even have a great ending ."
neg,"it's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic ."
pos,"my oh my , is this an invigorating , electric movie ."
neg,"so mind-numbingly awful that you hope britney won't do it one more time , as far as movies are concerned ."
neg,"the movie is too cute to take itself too seriously , but it still feels like it was made by some very stoned college students ."
pos,"fathers and sons , and the uneasy bonds between them , rarely have received such a sophisticated and unsentimental treatment on the big screen as they do in this marvelous film ."
pos,"led by griffin's smartly nuanced performance and enthusiasm , the cast has a lot of fun with the material ."
neg,"with very little to add beyond the dark visions already relayed by superb recent predecessors like swimming with sharks and the player , this latest skewering . . . may put off insiders and outsiders alike ."
pos,vividly conveys both the pitfalls and the pleasures of over-the-top love .
pos,see it . debate it . remember it .
neg,"some episodes work , some don't ."
neg,"the action is reasonably well-done . . . yet story , character and comedy bits are too ragged to ever fit smoothly together ."
neg,"predictable and cloying , though brown sugar is so earnest in its yearning for the days before rap went nihilistic that it summons more spirit and bite than your average formulaic romantic quadrangle ."
pos,"if the message seems more facile than the earlier films , the images have such a terrible beauty you may not care ."
pos,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she's as morning-glory exuberant as she was in amélie ."
pos,"though it's not very well shot or composed or edited , the score is too insistent and the dialogue is frequently overwrought and crudely literal , the film shatters you in waves ."
pos,"a miniscule little bleep on the film radar , but one that many more people should check ou"
neg,"this is the kind of movie during which you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness ."
pos,the level of acting elevates the material above pat inspirational status and gives it a sturdiness and solidity that we've long associated with washington the actor .
neg,"yet another iteration of what's become one of the movies' creepiest conventions , in which the developmentally disabled are portrayed with almost supernatural powers to humble , teach and ultimately redeem their mentally "" superior "" friends , family . . ."
neg,"when a set of pre-shooting guidelines a director came up with for his actors turns out to be cleverer , better written and of considerable more interest than the finished film , that's a bad sign . a very bad sign ."
pos,with exquisite craftsmanship . . . olivier assayas has fashioned an absorbing look at provincial bourgeois french society .
pos,"unlike most teen flicks , swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity ."
pos,"fine acting but there is no sense of connecting the dots , just dots ."
pos,the film is insightful about kissinger's background and history .
pos,salma goes native and she's never been better in this colorful bio-pic of a mexican icon .
neg,"die another day is only intermittently entertaining but it's hard not to be a sucker for its charms , or perhaps it's just impossible not to feel nostalgia for movies you grew up with ."
neg,"the acting is stiff , the story lacks all trace of wit , the sets look like they were borrowed from gilligan's island -- and the cgi scooby might well be the worst special-effects creation of the year ."
neg,"if this is satire , it's the smug and self-congratulatory kind that lets the audience completely off the hook ."
pos,a thoroughly entertaining comedy that uses grant's own twist of acidity to prevent itself from succumbing to its own bathos .
neg,"the film is so busy making reference to other films and trying to be other films that it fails to have a heart , mind or humor of its own ."
pos,"works because , for the most part , it avoids the stupid cliches and formulaic potholes that befall its brethren ."
pos,"armed with a game supporting cast , from the pitch-perfect forster to the always hilarious meara and levy , like mike shoots and scores , doing its namesake proud ."
neg,"a film made with as little wit , interest , and professionalism as artistically possible for a slummy hollywood caper flick ."
pos,"this fascinating experiment plays as more of a poetic than a strict reality , creating an intriguing species of artifice that gives the lady and the duke something of a theatrical air ."
pos,a sharp satire of desperation and cinematic deception .
pos,kosminsky . . . puts enough salt into the wounds of the tortured and self-conscious material to make it sting .
pos,hits one out of the park for the 'they don't make 'em like that anymore' department .
neg,beyond a handful of mildly amusing lines . . . there just isn't much to laugh at .
pos,the film makes a strong case for the importance of the musicians in creating the motown sound .
neg,too lazy to take advantage of its semi-humorous premise .
neg,"one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution ."
neg,"a respectable but uninspired thriller that's intelligent and considered in its details , but ultimately weak in its impact ."
neg,suffers from over-familiarity since hit-hungry british filmmakers have strip-mined the monty formula mercilessly since 1997 .
neg,"due to some script weaknesses and the casting of the director's brother , the film trails off into inconsequentiality ."
pos,the entire movie establishes a wonderfully creepy mood .
neg,it's hard not to feel you've just watched a feature-length video game with some really heavy back story .
neg,"based on a david leavitt story , the film shares that writer's usual blend of observant cleverness , too-facile coincidence and slightly noxious preciousness ."
neg,"to my taste , the film's comic characters come perilously close to being amoses and andys for a new generation ."
neg,"bears resemblance to , and shares the weaknesses of , too many recent action-fantasy extravaganzas in which special effects overpower cogent story-telling and visual clarity during the big action sequences ."
neg,"scotland , pa . is a strangely drab romp . some studio pizazz might have helped ."
pos,münch's genuine insight makes the film's occasional overindulgence forgivable .
neg,never comes together as a coherent whole .
pos,"the far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past ."
neg,"well , it does go on forever ."
pos,both deeply weird and charmingly dear .
pos,"a delightful surprise because despite all the backstage drama , this is a movie that tells stories that work -- is charming , is moving , is funny and looks professional ."
neg,it is too bad that this likable movie isn't more accomplished . the actors try hard but come off too amateurish and awkward .
pos,candid camera on methamphetamines .
pos,"chicago offers much colorful eye candy , including the spectacle of gere in his dancing shoes , hoofing and crooning with the best of them ."
pos,"ultimately , the message of trouble every day seems to be that all sexual desire disrupts life's stasis ."
pos,a fascinating literary mystery story with multiple strands about the controversy of who really wrote shakespeare's plays .
pos,"a cultural wildcard experience : wacky , different , unusual , even nutty ."
neg,draggin' about dragon
pos,if you can swallow its absurdities and crudities lagaan really is enormously good fun .
neg,an average b-movie with no aspirations to be anything more .
pos,"a funny and well-contructed black comedy where the old adage "" be careful what you wish for "" is given a full workout ."
pos,"halloween : resurrection isn't exactly quality cinema , but it isn't nearly as terrible as it cold have been ."
pos,"it is the sheer , selfish , wound-licking , bar-scrapping doggedness of leon's struggle to face and transmute his demons that makes the movie a spirited and touching occasion , despite its patchy construction ."
neg,"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast ."
neg,it's an awfully derivative story .
neg,the sheer dumbness of the plot ( other than its one good idea ) and the movie's inescapable air of sleaziness get you down .
pos,an intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time .
neg,"shreve's graceful dual narrative gets clunky on the screen , and we keep getting torn away from the compelling historical tale to a less-compelling soap opera ."
neg,the only way this supernatural snore-fest could give anyone a case of the frights is if they were put to sleep by the movie and had a nightmare .
neg,"it doesn't quite deserve the gong , but there are more fascinating acts than "" confessions of a dangerous mind . """
neg,chai's structure and pacing are disconcertingly slack .
pos,"although what time offers tsai's usual style and themes , it has a more colorful , more playful tone than his other films ."
pos,reign of fire just might go down as one of the all-time great apocalypse movies .
pos,"a terrific b movie -- in fact , the best in recent memory ."
pos,huppert and girardot give performances of exceptional honesty .
neg,that frenetic spectacle [on the tv show] has usually been leavened by a charm that's conspicuously missing from the girls' big-screen blowout .
pos,i don't think i've been as entranced and appalled by an asian film since shinya tsukamoto's iron man .
pos,"a romantic comedy , yes , but one with characters who think and talk about their goals , and are working on hard decisions ."
pos,"an incredibly low-rent danish film , it brings a group of people together in a sweet and charming way , if a little convenien"
pos,"foster and whitaker are especially fine . she is a lioness , protecting her cub , and he a reluctant villain , incapable of controlling his crew ."
neg,director uwe boll and the actors provide scant reason to care in this crude '70s throwback .
pos,"this ecologically minded , wildlife friendly film teaches good ethics while entertaining with its unconventionally wacky but loving famil"
neg,"there's no excuse for following up a delightful , well-crafted family film with a computer-generated cold fish ."
neg,"scotland , pa . blurs the line between black comedy and black hole ."
neg,"by the miserable standards to which the slasher genre has sunk , . . . actually pretty good . of course , by more objective measurements it's still quite bad ."
neg,even those of a single digit age will be able to recognize that this story is too goofy . . . even for disney .
pos,"add yet another hat to a talented head , clooney's a good director ."
pos,bound to appeal to women looking for a howlingly trashy time .
neg,"reign of fire never comes close to recovering from its demented premise , but it does sustain an enjoyable level of ridiculousness ."
neg,"if it's seldom boring , well , it's also rarely coherent ."
neg,it's difficult to say whether the tuxedo is more boring or embarrassing--i'm prepared to call it a draw .
neg,predictably soulless techno-tripe .
neg,made by jackasses for jackasses .
pos,impresses you with its open-endedness and surprises .
neg,"the makers have forsaken the entertaining elements of the original and , instead , rehash old jokes and leave any life at the doorstep . i like frank the pug , though ."
